cliente_id;idade;genero;uf;data_cadastro
362;49;F;PR;2022-09-26
363;64;M;SC;2021-07-31
364;39;M;SC;2022-11-19
365;40;F;ES;2025-06-29
366;19;Outro;SP;2025-02-12
367;44;F;PR;2021-03-13
368;59;M;RJ;2025-02-23
369;19;F;RJ;2021-04-20
370;43;F;ES;2024-02-11
371;34;Outro;SP;2024-11-21
372;57;Outro;SP;2021-08-20
373;50;F;SC;2021-02-12
374;26;F;MG;2021-09-22
375;60;F;RJ;2021-02-15
376;56;F;RJ;2025-05-13
377;46;F;RS;2024-06-02
378;59;F;RJ;2025-08-03
379;43;F;RJ;2024-01-30
380;52;M;RS;2024-07-28
381;42;F;PR;2021-08-26
382;41;F;SP;2022-08-24
383;30;F;MG;2024-06-23
384;24;F;PR;2022-11-22
385;53;F;SP;2023-09-03
386;62;F;ES;2023-01-13
387;37;M;RJ;2024-01-28
388;18;M;MG;2022-12-28
389;25;M;SP;2021-07-19
390;63;Outro;ES;2023-10-10
391;33;M;RJ;2024-07-03
392;31;M;ES;2022-03-13
393;29;F;RS;2022-05-09
394;40;F;ES;2024-12-30
395;32;F;PR;2022-12-08
396;45;F;ES;2021-01-24
397;51;F;PR;2024-10-18
398;19;F;SC;2021-09-27
399;49;M;PR;2023-03-01
400;40;F;RS;2023-01-08
401;39;F;RS;2024-06-05
402;42;;ES;2021-05-08
403;39;F;SP;2022-06-27
404;39;F;ES;2025-11-22
405;59;F;ES;2023-12-18
406;23;M;SP;2021-11-21
407;32;F;RJ;2022-10-21
408;60;F;MG;2024-02-04
409;54;F;SC;2024-12-31
410;50;F;RJ;2021-03-26
411;25;F;ES;2023-10-23
412;61;M;RJ;2024-12-31
413;61;M;MG;2022-03-27
414;22;M;RS;2025-05-08
415;56;M;RJ;2025-01-04
416;21;F;MG;2024-05-30
417;23;M;RJ;2023-09-21
418;62;F;PR;2023-11-15
419;49;M;ES;2023-11-25
420;47;F;MG;2022-10-31
421;64;F;SC;2023-08-30
422;52;F;ES;2021-12-09
423;57;F;PR;2023-09-15
424;33;F;RS;2024-10-21
425;30;M;RJ;2025-08-08
426;59;F;ES;2024-09-21
427;47;F;RJ;2024-12-27
428;36;M;RJ;2023-08-10
429;34;F;ES;2022-04-02
430;36;M;MG;2023-06-18
431;45;F;MG;2025-02-11
432;43;;ES;2022-02-02
433;54;F;MG;2023-06-18
434;43;F;SP;2021-12-09
435;40;F;RJ;2025-09-11
436;26;F;ES;2024-07-27
437;29;Outro;SC;2024-10-07
438;18;F;PR;2023-03-24
439;18;F;RS;2024-05-05
440;64;F;ES;2024-06-02
441;51;M;ES;2023-07-29
442;49;F;RJ;2021-02-16
443;42;;PR;2024-04-23
444;57;F;RJ;2023-07-04
445;62;F;SC;2021-06-11
446;18;F;RS;2025-07-25
447;33;M;MG;2021-10-22
448;56;M;ES;2021-04-02
449;22;F;RJ;2025-05-30
450;39;F;RS;2025-08-01
451;46;M;SC;2024-04-06
452;20;F;SC;2024-07-05
453;29;F;RS;2023-01-20
454;43;F;SP;2022-07-11
455;33;F;ES;2021-11-05
456;54;F;SC;2025-07-31
457;39;F;RS;2025-06-27
458;46;F;MG;2024-02-27
459;31;M;RJ;2025-08-24
460;45;F;RJ;2025-04-23
461;22;M;SP;2022-07-23
462;64;F;MG;2024-03-30
463;47;M;SC;2021-06-25
464;63;F;RS;2025-11-30
465;22;M;SP;2024-08-04
466;29;F;SC;2023-08-31
467;33;M;SC;2024-11-29
468;43;F;ES;2025-08-08
469;43;F;PR;2023-07-27
470;38;;RS;2025-05-23
471;56;F;SC;2024-09-25
472;53;F;RJ;2023-10-16
473;50;Outro;SC;2024-07-15
474;47;F;SP;2021-08-06
475;54;F;RS;2023-03-24
476;40;;SC;2021-06-13
477;27;F;RS;2025-09-11
478;22;M;RJ;2024-11-15
479;53;F;RJ;2024-12-11
480;51;M;SP;2021-02-17
481;48;F;RJ;2024-05-02
482;27;;MG;2023-03-12
483;36;F;MG;2022-12-19
484;49;F;PR;2021-03-25
485;18;F;RS;2022-09-05
486;22;F;MG;2025-08-18
487;62;M;SP;2023-12-07
488;21;M;SC;2021-08-22
489;33;F;MG;2023-08-20
490;41;M;PR;2024-08-15
491;33;F;RS;2023-04-28
492;19;F;ES;2021-05-27
493;45;F;ES;2021-07-15
494;49;F;SP;2023-06-25
495;44;F;PR;2023-10-11
496;37;M;MG;2023-11-12
497;41;F;PR;2024-05-02
498;29;M;RJ;2022-01-21
499;52;F;PR;2021-12-30
500;50;M;MG;2021-10-01
501;50;F;SP;2024-11-08
502;60;F;RJ;2021-07-27
503;54;F;PR;2021-10-02
504;29;M;ES;2023-10-04
505;20;F;MG;2025-10-19
506;18;M;SP;2022-05-11
507;50;F;SC;2023-06-21
508;57;M;MG;2025-04-12
509;27;F;PR;2025-03-31
510;60;F;RS;2021-06-08
511;61;F;SP;2023-07-29
512;46;F;ES;2025-10-16
513;30;F;RJ;2022-04-05
514;29;Outro;PR;2022-01-29
515;48;;SP;2023-07-06
516;63;M;RJ;2023-08-01
517;19;F;RS;2022-03-15
518;52;F;SP;2024-11-03
519;40;F;SC;2021-06-13
520;34;F;PR;2022-10-01
521;43;Outro;SP;2024-09-15
522;25;F;ES;2022-07-24
523;46;;RS;2021-05-27
524;43;F;SP;2023-09-10
525;27;M;PR;2023-08-18
526;43;F;SP;2023-02-07
527;51;M;RJ;2021-04-20
528;58;F;RJ;2022-01-29
529;24;M;RS;2025-05-04
530;21;M;SC;2024-04-20
531;62;F;MG;2025-05-16
532;28;F;RS;2022-03-19
533;46;F;SC;2023-01-17
534;53;F;RS;2023-01-24
535;42;F;MG;2021-05-10
536;38;F;ES;2025-12-05
537;53;F;RJ;2024-11-27
538;27;M;MG;2022-05-20
539;54;F;SP;2022-12-21
540;26;F;ES;2025-08-05
541;41;M;PR;2021-01-22
542;52;M;MG;2023-11-07
543;52;F;RS;2023-05-25
544;53;F;SC;2023-04-11
545;35;F;MG;2022-09-26
546;56;M;SC;2021-10-09
547;49;M;RS;2024-06-04
548;41;F;RS;2024-12-14
549;40;M;SC;2022-01-08
550;49;F;RJ;2024-08-17
551;54;F;ES;2023-10-06
552;29;M;SC;2021-10-13
553;30;F;RJ;2024-02-14
554;40;F;RJ;2024-03-18
555;42;F;SC;2022-02-08
556;52;Outro;ES;2025-09-02
557;58;F;SP;2021-03-31
558;47;M;RS;2024-02-17
559;34;F;MG;2022-11-27
560;37;F;RJ;2023-06-27
561;42;F;MG;2025-12-05
562;39;F;ES;2025-10-29
563;30;M;SP;2024-01-22
564;36;F;PR;2022-09-21
565;53;F;RS;2023-09-29
566;29;F;RS;2022-03-23
567;58;F;SP;2021-11-08
568;36;Outro;ES;2024-09-03
569;29;F;SP;2021-05-01
570;26;F;RS;2021-11-13
571;24;M;PR;2021-05-18
572;45;M;RJ;2025-11-02
573;31;M;SP;2023-03-29
574;48;F;SC;2025-08-11
575;36;F;SC;2024-07-31
576;64;F;ES;2025-08-05
577;33;M;RS;2025-03-24
578;22;M;RS;2025-03-09
579;52;F;SP;2022-01-26
580;29;F;PR;2023-10-26
581;42;F;ES;2023-02-08
582;38;F;SP;2022-01-02
583;53;;ES;2023-04-21
584;40;F;SC;2022-05-07
585;33;F;PR;2023-01-28
586;56;;RJ;2025-01-29
587;62;F;PR;2024-06-12
588;59;M;RJ;2024-10-17
589;56;F;RS;2022-06-06
590;31;F;MG;2024-06-19
591;48;F;SC;2025-01-05
592;22;M;RS;2021-07-07
593;52;F;SC;2022-02-08
594;40;F;SC;2022-03-03
595;46;M;PR;2022-02-17
596;60;F;RJ;2025-03-18
597;28;F;MG;2021-06-03
598;35;F;MG;2021-07-22
599;64;F;MG;2021-08-05
600;29;M;RS;2022-04-27
601;26;M;ES;2024-08-31
602;27;;PR;2025-06-29
603;61;M;PR;2023-10-22
604;34;F;RS;2023-02-05
605;55;M;SC;2022-05-18
606;24;F;PR;2023-03-10
607;63;F;PR;2023-03-17
608;30;F;ES;2024-07-25
609;57;F;PR;2024-05-02
610;59;M;RJ;2023-08-01
611;26;F;RS;2023-02-08
612;44;F;MG;2023-02-01
613;19;F;ES;2024-06-25
614;22;F;ES;2021-03-29
615;46;F;SC;2022-03-10
616;54;M;PR;2022-02-24
617;55;F;MG;2024-06-30
618;36;M;RS;2022-03-05
619;25;F;RJ;2024-04-02
620;62;F;RS;2025-02-27
621;18;F;MG;2021-06-11
622;39;M;RS;2022-05-22
623;34;F;SP;2021-09-22
624;24;M;MG;2021-04-20
625;42;;RJ;2023-06-19
626;62;;RJ;2025-10-09
627;21;M;RJ;2024-09-04
628;53;M;ES;2024-03-01
629;23;F;RS;2024-03-02
630;48;M;ES;2022-01-29
631;36;F;SP;2022-09-12
632;61;;MG;2022-11-15
633;56;F;PR;2022-07-06
634;44;F;SC;2023-03-15
635;27;F;SP;2023-11-25
636;43;F;RS;2025-05-14
637;36;F;PR;2025-09-25
638;56;F;RS;2022-12-23
639;20;M;PR;2024-10-27
640;62;F;SP;2021-01-31
641;30;F;MG;2024-04-12
642;45;M;SC;2023-03-28
643;37;F;PR;2024-11-14
644;45;F;ES;2025-09-30
645;25;M;ES;2021-04-16
646;58;M;SP;2024-07-22
647;56;F;SC;2024-01-25
648;18;F;SC;2025-09-02
649;20;F;RS;2023-10-14
650;30;F;PR;2023-11-20
651;45;F;SP;2023-03-05
652;42;;SC;2021-06-10
653;50;M;SC;2024-08-22
654;55;M;ES;2025-07-05
655;23;F;SP;2025-10-14
656;61;M;PR;2021-07-15
657;62;F;PR;2022-08-31
658;49;F;ES;2021-12-04
659;62;F;RS;2024-03-07
660;64;F;RJ;2023-03-01
661;38;Outro;RJ;2022-03-23
662;33;F;SC;2024-08-26
663;38;F;MG;2024-04-17
664;28;F;ES;2021-12-03
665;54;M;MG;2024-06-11
666;53;F;SC;2024-06-26
667;52;F;RS;2021-05-12
668;36;F;ES;2021-09-06
669;37;F;PR;2025-01-18
670;35;F;RS;2022-05-14
671;64;F;ES;2021-03-04
672;58;F;SP;2023-03-30
673;31;F;MG;2024-11-16
674;32;;ES;2021-09-14
675;48;M;MG;2024-06-25
676;18;F;RS;2024-07-11
677;20;F;SC;2022-04-12
678;33;F;ES;2023-04-29
679;40;F;RJ;2021-12-27
680;28;Outro;MG;2023-05-30
681;29;M;PR;2024-11-17
682;27;F;PR;2021-06-28
683;49;F;ES;2023-08-07
684;33;F;PR;2025-03-10
685;25;F;RS;2022-05-14
686;55;F;PR;2022-11-08
687;29;F;MG;2025-06-15
688;41;;RS;2025-09-24
689;45;F;ES;2021-10-19
690;25;F;MG;2022-08-11
691;45;M;ES;2023-03-29
692;53;F;PR;2021-04-09
693;43;F;RS;2025-06-19
694;25;F;ES;2021-06-30
695;45;F;SC;2023-08-11
696;45;;ES;2024-11-27
697;54;Outro;SP;2025-08-17
698;58;Outro;ES;2022-01-09
699;53;M;SP;2022-09-16
700;44;F;MG;2025-09-03
701;34;Outro;SP;2021-09-10
702;26;;RS;2023-05-13
703;50;F;MG;2021-05-02
704;37;F;ES;2022-03-18
705;30;F;MG;2025-10-07
706;45;F;PR;2021-09-02
707;46;F;SC;2025-07-21
708;30;Outro;ES;2025-02-23
709;63;Outro;RS;2023-05-21
710;52;F;SP;2023-04-07
711;23;F;SC;2023-12-06
712;35;M;RJ;2022-03-28
713;22;M;SC;2021-10-23
714;64;F;ES;2025-11-07
715;42;M;RS;2024-03-10
716;19;M;RS;2025-07-15
717;27;Outro;SC;2025-03-25
718;47;F;SC;2023-12-26
719;62;F;PR;2022-04-28
720;22;Outro;MG;2021-11-05
721;50;F;SC;2025-01-23
722;18;M;SP;2022-08-16
723;35;F;RS;2025-12-01
724;49;F;SP;2023-10-16
725;64;F;PR;2022-02-02
726;28;F;SC;2022-04-14
727;38;Outro;SC;2022-09-09
728;43;F;PR;2022-01-27
729;42;M;ES;2021-04-07
730;39;M;RJ;2024-04-28
731;44;F;RJ;2023-07-30
732;30;M;MG;2023-05-10
733;50;F;SP;2021-07-14
734;51;M;ES;2023-08-16
735;58;F;SP;2024-09-19
736;52;F;ES;2021-03-24
737;18;F;PR;2021-09-08
738;38;M;MG;2023-12-30
739;23;Outro;PR;2024-08-08
740;45;F;SP;2021-12-06
741;34;F;RS;2024-11-09
742;22;F;MG;2022-12-01
743;48;M;SC;2025-01-21
744;22;F;RS;2024-03-10
745;55;M;ES;2024-03-09
746;20;F;ES;2024-01-04
747;40;F;MG;2021-04-10
748;54;M;PR;2025-08-08
749;54;M;MG;2024-04-13
750;27;M;PR;2023-01-03
751;27;F;MG;2021-11-19
752;36;M;PR;2025-02-09
753;34;F;RJ;2021-01-10
754;38;Outro;MG;2023-10-10
755;31;F;PR;2023-12-06
756;26;F;SC;2025-07-11
757;63;F;SP;2025-03-20
758;18;F;RS;2024-08-29
759;62;F;RS;2024-06-15
760;30;M;RS;2023-03-17
761;21;M;SP;2023-06-27
762;18;;MG;2023-11-21
763;57;F;MG;2025-03-14
764;49;F;ES;2021-05-10
765;51;M;PR;2025-11-12
766;45;F;MG;2024-11-09
767;48;F;SP;2025-06-05
768;25;M;SP;2023-11-15
769;56;F;RS;2024-07-08
770;43;F;SP;2025-05-03
771;51;M;PR;2024-11-22
772;20;F;RJ;2022-07-18
773;29;M;MG;2024-09-15
774;18;F;RS;2021-05-29
775;61;M;RJ;2024-12-03
776;22;F;PR;2025-06-23
777;47;M;RS;2022-08-02
778;47;F;SC;2023-10-17
779;34;M;MG;2025-10-12
780;64;F;ES;2025-11-19
781;40;F;MG;2021-04-29
782;32;M;MG;2024-12-28
783;54;F;MG;2021-08-16
784;38;F;RS;2022-09-07
785;31;F;RS;2021-08-28
786;19;F;MG;2023-07-02
787;28;F;SC;2024-06-09
788;56;F;MG;2023-08-24
789;55;F;PR;2024-08-06
790;51;F;MG;2024-03-23
791;55;F;SC;2025-09-02
792;51;F;PR;2021-06-08
793;35;;MG;2025-07-07
794;47;M;MG;2022-07-17
795;32;F;PR;2022-04-21
796;44;F;MG;2022-07-02
797;51;Outro;SC;2023-11-03
798;55;F;RS;2023-05-03
799;50;F;SP;2025-03-11
800;41;F;MG;2021-08-06
801;32;M;ES;2023-01-25
802;47;F;PR;2023-01-05
803;59;M;SC;2025-10-10
804;34;M;MG;2023-09-18
805;22;F;MG;2023-02-20
806;46;M;PR;2021-08-10
807;21;F;RJ;2021-10-15
808;27;F;SC;2022-06-08
809;34;F;SC;2025-02-19
810;27;F;SP;2022-11-30
811;34;F;RS;2022-11-12
812;37;F;RS;2021-11-20
813;41;F;SP;2022-09-10
814;22;F;MG;2024-04-14
815;51;F;PR;2023-05-11
816;23;M;ES;2021-02-10
817;19;F;MG;2024-09-10
818;30;M;SP;2025-11-20
819;60;F;MG;2024-07-14
820;60;F;PR;2025-10-24
821;28;F;SC;2022-01-28
822;64;F;SC;2024-02-11
823;40;F;SC;2024-07-31
824;33;F;SC;2021-07-22
825;48;;RS;2023-05-03
826;28;;ES;2023-02-13
827;33;F;RJ;2024-03-13
828;25;M;RS;2024-06-20
829;21;F;ES;2023-02-21
830;57;F;MG;2021-02-04
831;21;M;SP;2021-02-22
832;42;F;PR;2022-05-18
833;20;F;MG;2024-10-11
834;49;F;RJ;2021-05-30
835;20;F;PR;2022-03-13
836;44;F;PR;2022-03-26
837;46;F;PR;2022-06-09
838;49;F;MG;2021-09-24
839;36;F;RJ;2025-06-21
840;38;M;MG;2021-03-27
841;22;F;PR;2021-11-05
842;35;M;PR;2021-09-22
843;45;M;RS;2022-05-07
844;59;M;SP;2025-05-26
845;39;M;ES;2023-11-07
846;38;F;MG;2024-04-27
847;23;F;RJ;2022-06-06
848;18;F;RS;2024-04-04
849;22;;PR;2025-04-24
850;58;F;MG;2023-05-28
851;29;F;ES;2024-09-30
852;43;F;MG;2024-05-27
853;63;;ES;2021-04-04
854;51;F;MG;2024-03-27
855;31;F;SP;2021-02-03
856;43;F;MG;2023-03-12
857;62;;RS;2022-02-20
858;44;F;SC;2025-03-10
859;26;F;SP;2025-02-22
860;43;F;ES;2022-06-08
861;64;F;PR;2021-08-21
862;39;M;PR;2025-06-11
863;64;F;MG;2022-08-28
